action,relevance,relative_difficulty_1_to_10
Moving to a new industry or profession,,
Joining a new company,,
Moving to a new unit or group in the same company,,
Being promoted to a higher level,,
Leading former peers (assuming you have been promoted),,
"Moving from one function to another (e.g., sales to marketing)",,
Taking on a cross-functional leadership role for the first time,,
Moving geographically,,
Entering a new national or ethnic culture,,
Having to do two jobs at the same time (finishing old role while starting new one),,
Taking on a newly created role (as opposed to an existing role),,
Entering an organization in which major change already is going on,,
